,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
90,90,90,896562,2021,Abu Dhabi,Dec,Friday,Evening,second week,Shock,Overcoming the red light signal - the arrow signal,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,Phantom,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,15,Male,60,2,There is no,Multi -legs intersection,1
91,91,91,896563,2021,Ras Al Khaimah,January,Friday,Evening,The first week,A fixed body shocked the road,Sudden deviation,Kadra area,Mountainous area,Disgust,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,15,Male,120,2,There is no,Not on or by (20) meters of a,1
92,92,92,896564,2021,Abu Dhabi,June,Sunday,Evening,the third week,Be shocked,Overcoming the red light signal,Intersection of the Arabian Gulf - Al Saada,garden,Supervisor,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,24,Male,100,4,There is no,Not on or by (20) meters of a,1
93,93,93,896565,2021,Abu Dhabi,May,Monday,At noon,second week,Be shocked,Fatigue and drowsiness,Abu Dhabi Road - Al Ain,External road,Al Wathba (East + West),Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,40,Male,120,3,There is no,Not on or by (20) meters of a,1
94,94,94,896566,2021,Abu Dhabi,July,Wednesday,Evening,fourth week,Be shocked,Not adhering to the mandatory itinerary,El-Shikh Zayed street,Governmental,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,29,Male,80,4,There is no,Not at intersection,1
95,95,95,896567,2021,Ras Al Khaimah,January,Wednesday,Before noon,the third week,Shock,Enter a major road without making sure that it is free,Al -Jazeera Street behind the ceramic,Industrial area,The Red Island,Intersection,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,25,Male,40,2,There is no,Vertical cross intersection,1
96,96,96,896568,2021,Abu Dhabi,February,Friday,Evening,fourth week,Shock,Not leaving enough distance,Abu Dhabi Road - Al Ain,Residential area,Treasury Bridge,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,39,Female,160,4,There is no,Not on or by (20) meters of a,1
97,97,97,896569,2021,Ras Al Khaimah,July,Saturday,Evening,the third week,Shock,Not leaving enough distance,Dafta Street,External road,Inconsistent,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,23,Male,120,2,There is no,Not on or by (20) meters of a,1
98,98,98,896570,2021,Abu Dhabi,October,Saturday,In the afternoon,fourth week,Run,Driving without a driver's license at all,The tall roundabout,Residential area,The farmer,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,11,Male,40,1,Familiar,Not on or by (20) meters of a,1
99,99,99,896571,2021,Abu Dhabi,November,Tuesday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,International airport roads,Tunnel / Bridge,Khalifa City (B),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,54,Male,120,3,There is no,Not on or by (20) meters of a,1
100,100,100,896572,2021,Abu Dhabi,April,Tuesday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Khalifa Bin Zayed Street I,School,Pre -Islamic,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,39,Male,80,3,There is no,Not at intersection,1
101,101,101,896573,2021,Abu Dhabi,October,Sunday,Evening,the third week,Shock,Overcoming the red light signal - the arrow signal,East Intersection (Traffic) - Twenty First fifth Street,Commercial area,Humper saffron,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,2,Female,80,3,There is no,Vertical cross intersection,1
102,102,102,896574,2021,Abu Dhabi,April,Sunday,Before noon,fourth week,Be shocked,Enter a major road without making sure that it is free,Truck Road,External road,There is no definition of regions,Individual,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,39,Male,80,1,There is no,Not on or by (20) meters of a,1
103,103,103,896575,2021,Abu Dhabi,April,Thursday,Evening,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Commercial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,26,Male,60,2,He crosses not on transit lines,Not on or by (20) meters of a,1
104,104,104,896576,2021,Ajman,April,Thursday,Before noon,The first week,Run,Negligence and lack of attention,Baghdad Street,Commercial area,Kindergarten,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,3,Female,30,0,He crosses not on transit lines,Others,1
105,105,105,896577,2021,Abu Dhabi,January,Friday,Evening,fourth week,Shock,Overcoming the red light signal,Intersection of the Arabian Gulf - Al Saada,Residential area,Supervisor,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,36,Female,100,4,There is no,Vertical cross intersection,1
106,106,106,896578,2021,Ajman,August,Friday,Before noon,fourth week,Cross -100,Enter a major road without making sure that it is free,unknown,Residential area,Kindergarten,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,21,Male,40,0,There is no,Not on or by (20) meters of a,1
107,107,107,896579,2021,Abu Dhabi,November,Saturday,In the afternoon,second week,Shock,Not adhering to the mandatory itinerary,Rakhr roundabout,Residential area,full,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,33,Male,60,3,There is no,vertigo,1
108,108,108,896580,2021,Ras Al Khaimah,June,Wednesday,Evening,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Passports intersection,Governmental,Globe,public road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,27,Male,60,2,There is no,A meeting of half -vertical roads,1
109,109,109,896581,2021,Abu Dhabi,June,Saturday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,External road,Gentott,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,59,Male,140,4,There is no,Not on or by (20) meters of a,1
110,110,110,896582,2021,Ras Al Khaimah,January,Friday,Evening,The fifth week,Cross -100,Preoccupation with the road while driving the vehicle in any way,Jabal Jais Street,Mountainous area,Whisper,Double road,Night - without lighting,curve,No Clouds,dry,driver,Bike,Medium,29,Male,60,3,There is no,Not on or by (20) meters of a,1
111,111,111,896583,2021,Abu Dhabi,May,Tuesday,Before noon,the third week,Shock,Sudden deviation,El-Shikh Zayed street,Residential area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,68,Male,80,3,There is no,Not at intersection,1
112,112,112,896584,2021,Abu Dhabi,October,Saturday,In the afternoon,the third week,Shock,Driving the vehicle under the influence of alcohol,Al -Ruwais Street - Goods,Governmental,General Street (Abu Dhabi - Commodities),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,45,Male,80,1,He crosses not on transit lines,Not on or by (20) meters of a,1
113,113,113,896585,2021,Abu Dhabi,October,Monday,Before noon,the third week,A fixed body was shocked outside the road,Not adhering to the mandatory itinerary,Shakhboot Bin Sultan Street,Residential area,Merkhania,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,73,Male,80,3,There is no,Not at intersection,1
114,114,114,896586,2021,Abu Dhabi,Dec,Thursday,Before noon,fourth week,Be shocked,Enter a major road without making sure that it is free,An internal street,Residential area,Blessing,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,26,Female,40,2,There is no,Not on or by (20) meters of a,1
115,115,115,896587,2021,Ajman,August,Wednesday,Before noon,fourth week,Run,Negligence and lack of attention,unknown,Commercial area,Industrial cliff 1,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,42,Male,60,0,He crosses not on transit lines,Not on or by (20) meters of a,1
116,116,116,896588,2021,Ras Al Khaimah,January,Wednesday,In the afternoon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Saqr Street,Commercial area,Al -Zahra,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Medium,20,Male,80,3,There is no,Not at intersection,1
117,117,117,896589,2021,Ras Al Khaimah,April,Thursday,At noon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Mohammed bin Salem Street,Residential area,Northern,public road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,24,Male,80,2,There is no,Not on or by (20) meters of a,1
118,118,118,896590,2021,Ras Al Khaimah,November,Tuesday,Before noon,the third week,Shock,Not leaving enough distance,Sheikh Mohammed bin Zayed Street,Others,The Red Island,public road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,28,Male,120,3,There is no,Not at intersection,1
119,119,119,896591,2021,Ras Al Khaimah,May,Wednesday,At noon,fourth week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Khuzam Street,Residential area,Lap,public road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,32,Female,80,2,There is no,Hole,1
120,120,120,896592,2021,Abu Dhabi,November,Monday,Before noon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,Sandy area,intimate,Double road,Night - without lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,26,Male,120,2,There is no,Not at intersection,1
121,121,121,896593,2021,Abu Dhabi,May,Thursday,At noon,second week,Cross -100,Not adhering to the mandatory itinerary,An internal street,Residential area,Fold,Dhuatatin Road,day,curve,No Clouds,dry,passenger,Rapid in the back seat,Medium,37,Female,40,2,There is no,Not at intersection,1
122,122,122,896594,2021,Sharjah,September,Saturday,Before noon,The first week,Consecutive,Not leaving enough distance,Khorfakkan Road,Tunnel / Bridge,The forum tunnel to the square tunnel,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,27,Male,100,2,There is no,Not on or by (20) meters of a,1
123,123,123,896595,2021,Ras Al Khaimah,May,Wednesday,At noon,fourth week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Khuzam Street,Residential area,Lap,public road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,31,Female,80,2,There is no,Hole,1
124,124,124,896596,2021,Abu Dhabi,September,Tuesday,In the afternoon,second week,Be shocked,Not adhering to the mandatory itinerary,Sheikh Zayed Tunnel - Sheikh Zayed Street,Tunnel / Bridge,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,44,Male,120,5,There is no,Not at intersection,1
125,125,125,896597,2021,Abu Dhabi,August,Thursday,At noon,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,intimate,Dhuatatin Road,day,Wicked (Bad),dusty,Temple,passenger,A passenger in the front seat,Medium,43,Male,100,2,There is no,Not on or by (20) meters of a,1
126,126,126,896598,2021,Abu Dhabi,October,Friday,Evening,the third week,Shock,Fatigue and drowsiness,Zayed City Street (New),Petrol station,Habshan,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Male,100,2,There is no,Not on or by (20) meters of a,1
127,127,127,896599,2021,Abu Dhabi,February,Thursday,At noon,fourth week,Be shocked,Failure to adhere to traffic signs,There is no definition,Industrial area,Industrial Archbishop,Intersection,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,38,Male,60,2,There is no,Vertical cross intersection,1
128,128,128,896600,2021,Abu Dhabi,March,Tuesday,Evening,The first week,Shock,Enter a major road without making sure that it is free,Sheikh Maktoum Bin Rashid Street,External road,Sayeh Al -Sidair,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Male,120,4,There is no,Not on or by (20) meters of a,1
129,129,129,896601,2021,Abu Dhabi,May,Wednesday,Before noon,the third week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Petrol station,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,40,Male,140,4,There is no,Not on or by (20) meters of a,1
130,130,130,896602,2021,Abu Dhabi,February,Friday,Evening,The first week,Run,Negligence and lack of attention,Armored road,Industrial area,Industrial armored bridge,Dhuatatin Road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Medium,51,Male,60,2,He crosses not on transit lines,Vertical cross intersection,1
131,131,131,896603,2021,Abu Dhabi,April,Thursday,Evening,fourth week,Shock,Not to make the road / not to give the brigades,Abu Dhabi Road - Al Ain,Residential area,Mohammed bin Zayed City,Intersection,Night - Enough lighting,Other (select),No Clouds,Non -temple,passenger,A passenger in the front seat,Medium,38,Female,60,2,There is no,Vertical cross intersection,1
132,132,132,896604,2021,Abu Dhabi,May,Sunday,In the afternoon,The fifth week,Shock,Enter a major road without making sure that it is free,There is no definition,Commercial area,Industrial Archbishop,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,51,Male,60,3,There is no,A meeting of half -vertical roads,1
133,133,133,896605,2021,Abu Dhabi,January,Sunday,In the afternoon,The first week,Shock,Enter a major road without making sure that it is free,Al Ain Street - Abuiriya,External road,Abu Kira,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,13,Female,140,2,There is no,Hole,1
134,134,134,896606,2021,Abu Dhabi,March,Friday,Evening,the third week,Shock,Not leaving enough distance,New Nahel Street,External road,Patel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,22,Male,140,2,There is no,Not at intersection,1
135,135,135,896607,2021,Abu Dhabi,September,Wednesday,Evening,The first week,Run,Not to give priority to the infantry crossing,Armored road,Industrial area,Industrial armored bridge,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,49,Male,60,2,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
136,136,136,896608,2021,Sharjah,Dec,Wednesday,Evening,fourth week,Shock,Negligence and lack of attention,Sheikh Khalid bin Khalid Al Qasimi Street,Residential area,Yash,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,26,Male,60,2,There is no,Not on or by (20) meters of a,1
137,137,137,896609,2021,Abu Dhabi,October,Tuesday,At noon,second week,Be shocked,Not to make the road / not to give the brigades,There is no definition,Commercial area,Industrial Archbishop,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,25,Male,60,3,There is no,vertigo,1
138,138,138,896610,2021,Abu Dhabi,August,Tuesday,At noon,fourth week,Be shocked,Overcoming the red light signal,Khalifa Bin Zayed Street,Commercial area,City center,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,30,Male,60,3,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
