,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
68,68,58518,81567,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/7/2013,2013/02/07-15:13,2013/02/07-15:17,2013/02/07-15:20,2/7/2013 15:22,2013/02/07-15:36,2013/02/07-15:41,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Al -Mairid Street - Al -Mairid Street,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,2,0,,
69,69,58520,81569,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/7/2013,2013/02/07-13:19,2013/02/07-13:23,2013/02/07-13:25,2/7/2013 13:28,2013/02/07-13:45,2013/02/07-13:50,Transportation accidents,Run over,the person,Public facilities and services,Streets and squares,Rams Street - near the Spring of Lebanon Bakery,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
70,70,58525,81574,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/8/2013,2013/02/08-00:59,2013/02/08-01:01,2013/02/08-01:04,2/8/2013 1:08,2013/02/08-01:11,2013/02/08-01:50,Transportation accidents,Clash,the person,governmental,Streets and squares,Opposite,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,it is not determined yet,2,0,,
71,71,58526,81575,Abu Dhabi,Civil Defense Center - Gentot,Civil defense departments and centers,2/7/2013,2013/02/07-16:10,2013/02/07-16:20,2013/02/07-18:27,2/7/2013 18:40,2013/02/07-18:41,2013/02/07-18:46,Transportation accidents,a fire,Cars,Means of transport,car,Before Alfaya roundabout,Ambulance and transfer of injured and deceased,Cars,No Clouds,natural,very important,medium,it is not determined yet,5,1,,
72,72,58529,81578,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/8/2013,2013/02/08-05:39,2013/02/08-05:40,2013/02/08-05:43,2/8/2013 5:46,2013/02/08-05:49,2013/02/08-06:30,Transportation accidents,Clash,the person,governmental,Streets and squares,Rams Street - Al Nakheel,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,it is not determined yet,1,0,,
73,73,58530,81579,Umm Al Quwain,Raise Center,Police and traffic,2/8/2013,2013/02/08-05:29,2013/02/08-05:40,2013/02/08-05:42,2/8/2013 5:43,2013/02/08-06:00,2013/02/08-07:00,Transportation accidents,Deterioration,the person,governmental,Streets and squares,Al -Abeer Street towards the exit 103 near the rescue point,Transfer,Missing,No Clouds,natural,unclassified,basic,Traffic accident,3,0,,
74,74,58536,81585,Ajman,Civil Defense Center - Manama,Police and traffic,2/8/2013,2013/02/08-15:10,2013/02/08-15:15,2013/02/08-15:17,2/8/2013 15:19,2013/02/08-15:22,2013/02/08-16:15,Transportation accidents,Deterioration,Cars,Means of transport,car,Car deterioration,take actions,Cars,No Clouds,natural,very important,basic,it is not determined yet,1,0,,
75,75,58544,81593,Fujairah,Civil Defense Center - Masafi,Police and traffic,2/8/2013,2013/02/08-19:32,2013/02/08-19:34,2013/02/08-19:35,2/8/2013 19:36,2013/02/08-19:37,2013/02/08-19:39,Transportation accidents,Clash,Missing,Public facilities and services,Streets and squares,Massafi Fujairah,Transfer,Missing,I did not specify,natural,Normal,basic,Traffic accident,6,0,,
76,76,58545,81594,Al Dhafra,Civil Defense Center - Liwa,Police and traffic,2/9/2013,2013/02/09-01:15,2013/02/09-02:05,2013/02/09-02:20,2/9/2013 2:26,2013/02/09-02:42,2013/02/09-03:44,Transportation accidents,Deterioration,Missing,governmental,undefined,"Dowry accident in an intimate area, 80 km away",take actions,furniture,No Clouds,natural,very important,basic,Traffic accident,2,0,,
77,77,58547,81596,Eye,Civil Defense Center - Al -Wajan,Police and traffic,2/9/2013,2013/02/09-08:26,2013/02/09-08:46,2013/02/09-10:01,2/9/2013 10:24,2013/02/09-10:25,2013/02/09-10:30,Transportation accidents,Clash,Cars,Means of transport,Streets and squares,"Al -Arad area, Bouqariya Road",Fire control and cooling,Specific,No Clouds,natural,very important,medium,it is not determined yet,7,1,,
78,78,58554,81603,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/9/2013,2013/02/09-16:19,2013/02/09-16:22,2013/02/09-16:24,2/9/2013 16:27,2013/02/09-16:30,2013/02/09-16:55,Transportation accidents,Clash,Missing,governmental,Public places and places,Golan Street,take actions,Missing,No Clouds,natural,Important,basic,Traffic accident,2,0,,
79,79,58562,81611,Al Dhafra,Civil Defense Center - Liwa,The audience,2/10/2013,2013/02/10-13:16,2013/02/10-13:25,2013/02/10-13:26,2/10/2013 13:28,2013/02/10-13:45,2013/02/10-14:15,Transportation accidents,Clash,Cars,Public facilities and services,Other places,Liwa/intimate road (Al -Hawattin) area after 20 km from the center,take actions,Cars,No Clouds,natural,Important,medium,Traffic accident,0,1,,
80,80,58580,81629,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,2/11/2013,2013/02/11-17:43,2013/02/11-17:47,2013/02/11-17:49,2/11/2013 17:50,2013/02/11-17:51,2013/02/11-18:16,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,The outer round,Transfer,Cars,No Clouds,natural,Normal,basic,Traffic accident,2,0,,
81,81,58582,81631,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,2/11/2013,2013/02/11-19:17,2013/02/11-19:22,2013/02/11-19:24,2/11/2013 19:26,2013/02/11-20:00,2013/02/11-20:12,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Shamal Al Ras Street - opposite the Inter Lock Factory,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
82,82,58585,81634,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/11/2013,2013/02/11-19:42,2013/02/11-19:43,2013/02/11-19:46,2/11/2013 19:49,2013/02/11-20:15,2013/02/11-20:30,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Al -Jazeera Al -Hamra - near the Civil Defense Center,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
83,83,58586,81635,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/11/2013,2013/02/11-19:42,2013/02/11-19:43,2013/02/11-19:46,2/11/2013 19:49,2013/02/11-20:15,2013/02/11-20:30,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Al -Jazeera Al -Hamra - near the Civil Defense Center,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
84,84,58587,81636,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/11/2013,2013/02/11-19:42,2013/02/11-19:43,2013/02/11-19:46,2/11/2013 19:49,2013/02/11-20:15,2013/02/11-20:30,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Al -Jazeera Al -Hamra - near the Civil Defense Center,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
85,85,58588,81637,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/11/2013,2013/02/11-19:42,2013/02/11-19:43,2013/02/11-19:46,2/11/2013 19:49,2013/02/11-20:15,2013/02/11-20:30,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Al -Jazeera Al -Hamra - near the Civil Defense Center,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
86,86,58593,81642,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/11/2013,2013/02/11-23:30,2013/02/11-23:32,2013/02/11-23:34,2/11/2013 23:35,2013/02/11-23:55,2013/02/12-00:00,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Al -Uraibi Street,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
87,87,58594,81643,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/12/2013,2013/02/12-00:31,2013/02/12-00:34,2013/02/12-00:36,2/12/2013 0:40,2013/02/12-01:10,2013/02/12-01:20,Transportation accidents,Run over,the person,Public facilities and services,Streets and squares,Popular Rashid - Golan Street,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
88,88,58596,81645,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/12/2013,2013/02/12-06:33,2013/02/12-06:36,2013/02/12-06:37,2/12/2013 6:39,2013/02/12-06:41,2013/02/12-07:30,Transportation accidents,Clash,the person,governmental,Streets and squares,Al -Jazeera Al -Hamra (near the Acacia Hotel),take actions,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
89,89,58606,81655,Ras Al Khaimah,Civil Defense Center - Administration,Civil defense departments and centers,2/13/2013,2013/02/13-20:55,2013/02/13-21:00,2013/02/13-21:02,2/13/2013 21:05,2013/02/13-21:07,2013/02/13-22:00,Transportation accidents,infection,Missing,governmental,unknown,Missing,take actions,furniture,No Clouds,natural,very important,basic,Children tampering,0,0,,
90,90,58616,81665,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/13/2013,2013/02/13-19:53,2013/02/13-19:59,2013/02/13-20:07,2/13/2013 20:11,2013/02/13-20:22,2013/02/13-20:50,Transportation accidents,Deterioration,Missing,governmental,Streets and squares,Julpar region,take actions,Missing,No Clouds,natural,Important,basic,Traffic accident,5,0,,
91,91,58624,81673,Al Dhafra,Civil Defense Center - Liwa,Police and traffic,2/14/2013,2013/02/14-14:25,2013/02/14-14:50,2013/02/14-14:55,2/14/2013 15:00,2013/02/14-15:05,2013/02/14-15:50,Transportation accidents,One hundredth,the person,Public facilities and services,Streets and squares,"Liwa Road, Zayed City",Ambulance,Cars,No Clouds,natural,Important,basic,Traffic accident,1,0,,
92,92,58625,81674,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,2/14/2013,2013/02/14-16:30,2013/02/14-16:41,2013/02/14-16:42,2/14/2013 16:43,2013/02/14-16:44,2013/02/14-17:01,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Al -Abeer Street towards Ras Al Khaimah,Transfer,Cars,No Clouds,natural,Normal,basic,Traffic accident,2,0,,
93,93,58627,81676,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/14/2013,2013/02/14-20:03,2013/02/14-20:06,2013/02/14-20:09,2/14/2013 20:10,2013/02/14-20:10,2013/02/14-20:50,Transportation accidents,Run over,the person,commercial,Streets and squares,After the bridge roundabout in the Kuwaiti market,Transfer,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
94,94,58629,81678,Ajman,Civil Defense Center - Administration,Police and traffic,2/14/2013,2013/02/14-20:24,2013/02/14-20:27,2013/02/14-20:28,2/14/2013 20:29,2013/02/14-20:30,2013/02/14-21:00,Transportation accidents,Clash,Cars,Means of transport,Streets and squares,The new industrial zone,take actions,Cars,No Clouds,natural,Normal,basic,Traffic accident,2,0,,
95,95,58651,81700,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,2/16/2013,2013/02/16-18:13,2013/02/16-18:29,2013/02/16-18:31,2/16/2013 18:36,2013/02/16-20:06,2013/02/16-20:35,Transportation accidents,Clash,Cars,governmental,Streets and squares,Maliha Street,take actions,Missing,No Clouds,natural,very important,particle,Traffic accident,1,5,,
96,96,58655,81704,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/17/2013,2013/02/17-06:14,2013/02/17-06:29,2013/02/17-06:32,2/17/2013 6:34,2013/02/17-06:36,2013/02/17-07:58,Transportation accidents,Clash,the person,governmental,Streets and squares,Near Tuwin roundabout,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
97,97,58662,81711,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/17/2013,2013/02/17-18:13,2013/02/17-18:19,2013/02/17-18:21,2/17/2013 18:24,2013/02/17-18:26,2013/02/17-19:02,Transportation accidents,Deterioration,the person,governmental,Streets and squares,Etihad Street,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,2,0,,
98,98,58669,81718,Ajman,Civil Defense Center - Administration,Police and traffic,2/17/2013,2013/02/17-14:34,2013/02/17-14:36,2013/02/17-14:55,2/17/2013 15:05,2013/02/17-15:10,2013/02/17-15:30,Transportation accidents,Run over,Cars,Public facilities and services,Streets and squares,Al Jarf area,take actions,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
99,99,58672,81721,Ras Al Khaimah,Civil Defense Center - Administration,The audience,2/18/2013,2013/02/18-07:28,2013/02/18-07:33,2013/02/18-07:36,2/18/2013 7:40,2013/02/18-07:40,2013/02/18-08:00,Transportation accidents,Clash,the person,commercial,Commercial market,Khuzam at Ambassador Mall,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
100,100,58674,81723,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/18/2013,2013/02/18-11:17,2013/02/18-11:23,2013/02/18-11:26,2/18/2013 11:27,2013/02/18-11:27,2013/02/18-12:03,Transportation accidents,Clash,the person,Public facilities and services,residential,Golan,Transfer,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
101,101,58676,81725,Abu Dhabi,Civil Defense Center - Shakhbout City,Police and traffic,2/18/2013,2013/02/18-15:38,2013/02/18-15:46,2013/02/18-15:51,2/18/2013 16:30,2013/02/18-16:37,2013/02/18-16:45,Transportation accidents,death,Cars,Public facilities and services,Public places and places,After the Mafraq Bridge towards Abu Dhabi,take actions,Cars,No Clouds,natural,Important,basic,it is not determined yet,0,0,,
102,102,58677,81726,Abu Dhabi,Civil Defense Center - City,Police and traffic,2/18/2013,2013/02/18-08:50,2013/02/18-09:00,2013/02/18-18:30,2/18/2013 18:45,2013/02/18-18:55,2013/02/18-19:10,Transportation accidents,Clash,chemical materials,Public facilities and services,Public places and places,Al -Faya Road,take actions,Cars,No Clouds,natural,very important,basic,it is not determined yet,0,0,,
103,103,58700,81749,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,2/20/2013,2013/02/20-17:17,2013/02/20-17:26,2013/02/20-17:28,2/20/2013 17:29,2013/02/20-17:30,2013/02/20-18:09,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Sheikh Mohammed bin Zayed Street between 69 and 103 exit,Transfer,Cars,No Clouds,natural,Normal,basic,Traffic accident,4,0,,
104,104,58701,81750,Umm Al Quwain,Raise Center,Police and traffic,2/20/2013,2013/02/20-18:30,2013/02/20-18:41,2013/02/20-18:42,2/20/2013 18:43,2013/02/20-18:44,2013/02/20-19:15,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Sheikh Mohammed bin Zayed Street,Ambulance and transfer of a person,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
105,105,58702,81751,Ajman,Civil Defense Center - Rumaila,Police and traffic,2/16/2013,2013/02/16-00:22,2013/02/16-00:24,2013/02/16-00:25,2/16/2013 0:27,2013/02/16-00:30,2013/02/16-01:05,Transportation accidents,Run over,Cars,Public facilities and services,Public places and places,Near the whale supermarket,take actions,Cars,No Clouds,natural,very important,basic,Traffic accident,1,0,,
106,106,58707,81756,Ras Al Khaimah,Civil Defense Center - Administration,The audience,2/21/2013,2013/02/21-18:19,2013/02/21-18:20,2013/02/21-18:22,2/21/2013 18:24,2013/02/21-18:26,2013/02/21-18:45,Transportation accidents,Clash,the person,governmental,Streets and squares,For contacts,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Fire extension,2,0,,
107,107,58724,81773,Umm Al Quwain,Raise Center,Police and traffic,2/22/2013,2013/02/22-12:40,2013/02/22-12:51,2013/02/22-12:52,2/22/2013 12:53,2013/02/22-13:20,2013/02/22-13:55,Transportation accidents,One hundredth,the person,Other places,Streets and squares,Sheikh Mohammed bin Zayed Street near the exit 110,Transfer,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
108,108,58725,81774,Eye,Civil Defense Center - Zakher (fast intervention),Police and traffic,2/22/2013,2013/02/22-17:18,2013/02/22-17:37,2013/02/22-17:58,2/22/2013 18:15,2013/02/22-19:05,2013/02/22-19:25,Transportation accidents,Clash,Cars,Means of transport,car,Jabal Hafit Road,take actions,Cars,No Clouds,natural,very important,medium,Traffic accident,4,1,,
109,109,58731,81780,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/22/2013,2013/02/22-23:44,2013/02/22-23:46,2013/02/22-23:56,2/23/2013 0:27,2013/02/23-00:28,2013/02/23-01:20,Transportation accidents,Run over,the person,tourist,Methods and transport facilities,Al -Jazeera Al -Hamra near the Akassia Hotel,Bodies,governmental,No Clouds,natural,very important,medium,Traffic accident,0,1,,
110,110,58740,81789,Al Dhafra,Civil Defense Center - Port,Police and traffic,2/23/2013,2013/02/23-23:15,2013/02/23-23:20,2013/02/23-23:21,2/23/2013 23:22,2013/02/23-23:24,2013/02/23-23:45,Transportation accidents,Run over,the person,Public facilities and services,Public places and places,An accident run over the city of the interstate near the association,Ambulance and transfer of a person,Cars,No Clouds,natural,very important,basic,Traffic accident,1,0,,
